job_title,count,Replacement
Business Intelligence Engineer,230,Business Intelligence Analyst
Business Intelligence Analyst,147,Business Intelligence Analyst
Business Intelligence,50,Business Intelligence Analyst
Business Intelligence Developer,49,Business Intelligence Analyst
Business Data Analyst,21,Business Intelligence Analyst
Business Intelligence Manager,16,Business Intelligence Manager
Business Intelligence Specialist,4,Business Intelligence Analyst
Business Intelligence Lead,4,Business Intelligence Manager
Business Intelligence Data Analyst,2,Business Intelligence Analyst
BI Data Analyst,19,Business Intelligence Analyst
BI Data Engineer,1,Business Intelligence Analyst
BI Developer,84,Business Intelligence Analyst
BI Analyst,43,Business Intelligence Analyst
Power BI Developer,1,Business Intelligence Analyst
